ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2517678141593933
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.34388014674186707
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.34388014674186707
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.25241783261299133
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.25241783261299133
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.32724061608314514
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.32724061608314514
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.3434603214263916
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.3434603214263916
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525430917739868
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525430917739868
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3470700979232788
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3470700979232788
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34727802872657776
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34727802872657776
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25244683027267456
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25244683027267456
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2524142563343048
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2524142563343048
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2552359700202942
