 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602776012.4886217]         [Thread #47]      Create read mapping...
[1602776027.4105241]         [Thread #47]    - [Thread #47] finished
[1602776007.9756942]         [Thread #48]    - [Thread #48] running on [1/28] CPUs
[1602776007.9757738]         [Thread #48]      Creating output directories...
[1602776007.9769666]         [Thread #48]      Translating reads...
[1602776027.3810072]         [Thread #48]      Running DIAMOND...
[1602776033.1497262]         [Thread #48]      Converting DIAMOND...
[1602776033.2553892]         [Thread #48]      Parsing DIAMOND...
[1602776033.448119]          [Thread #48]      Annotating...
[1602776033.931572]          [Thread #48]      Analyzing...
[1602776034.2448735]         [Thread #48]      Create read mapping...
[1602776049.408989]          [Thread #48]    - [Thread #48] finished
[1602776029.5357115]         [Thread #49]    - [Thread #49] running on [1/28] CPUs
