 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602772245.7423322]         [Thread #73]      Annotating...
[1602772245.8695483]         [Thread #73]      Analyzing...
[1602772246.1653872]         [Thread #73]      Create read mapping...
[1602772260.4906368]         [Thread #73]    - [Thread #73] finished
[1602772241.8868916]         [Thread #74]    - [Thread #74] running on [1/28] CPUs
[1602772241.886972]          [Thread #74]      Creating output directories...
[1602772241.8899477]         [Thread #74]      Translating reads...
[1602772261.0346775]         [Thread #74]      Running DIAMOND...
[1602772266.7250857]         [Thread #74]      Converting DIAMOND...
[1602772266.8584821]         [Thread #74]      Parsing DIAMOND...
[1602772267.041638]          [Thread #74]      Annotating...
[1602772267.4309773]         [Thread #74]      Analyzing...
[1602772267.689524]          [Thread #74]      Create read mapping...
[1602772283.3842854]         [Thread #74]    - [Thread #74] finished
[1602772263.1950397]         [Thread #75]    - [Thread #75] running on [1/28] CPUs
[1602772263.1951246]         [Thread #75]      Creating output directories...
[1602772263.1980162]         [Thread #75]      Translating reads...
[1602772283.3432453]         [Thread #75]      Running DIAMOND...
[1602772289.1060908]         [Thread #75]      Converting DIAMOND...
[1602772289.247633]          [Thread #75]      Parsing DIAMOND...
[1602772289.5359678]         [Thread #75]      Annotating...
[1602772289.9413972]         [Thread #75]      Analyzing...
[1602772290.2810593]         [Thread #75]      Create read mapping...
[1602772304.6696854]         [Thread #75]    - [Thread #75] finished
[1602772328.7107344]         [Thread #78]    - [Thread #78] running on [1/28] CPUs
[1602772328.7108147]         [Thread #78]      Creating output directories...
[1602772328.7144723]         [Thread #78]      Translating reads...
[1602772348.0362167]         [Thread #78]      Running DIAMOND...
[1602772353.6595306]         [Thread #78]      Converting DIAMOND...
[1602772353.779876]          [Thread #78]      Parsing DIAMOND...
[1602772353.966542]          [Thread #78]      Annotating...
[1602772354.2734687]         [Thread #78]      Analyzing...
[1602772354.5917885]         [Thread #78]      Create read mapping...
[1602772370.1656828]         [Thread #78]    - [Thread #78] finished
[1602772350.4200494]         [Thread #79]    - [Thread #79] running on [1/28] CPUs
[1602772350.4201353]         [Thread #79]      Creating output directories...
[1602772350.4234269]         [Thread #79]      Translating reads...
[1602772370.0807714]         [Thread #79]      Running DIAMOND...
[1602772375.6794426]         [Thread #79]      Converting DIAMOND...
[1602772375.8029711]         [Thread #79]      Parsing DIAMOND...
[1602772376.001305]          [Thread #79]      Annotating...
[1602772376.1513257]         [Thread #79]      Analyzing...
[1602772376.3245454]         [Thread #79]      Create read mapping...
[1602772390.6263914]         [Thread #79]    - [Thread #79] finished
